substance,interactant,niveau,description,conduite
INDUCTEURS ENZYMATIQUES PUISSANTS,RANOLAZINE,AD,Risque de diminution importante des concentrations de ranolazine.,
INDUCTEURS ENZYMATIQUES PUISSANTS,RIVAROXABAN,AD,"Diminution des concentrations plasmatiques de rivaroxaban, avec risque de diminution de l'effet thérapeutique.",
INDUCTEURS ENZYMATIQUES PUISSANTS,SACITUZUMAB,APEC,"Pour le SN38 lié au sacizutumab (govitécan) : risque de diminution de son exposition, par augmentation de son métabolisme.",
INDUCTEURS ENZYMATIQUES PUISSANTS,SOTORASIB,AD,"Diminution notable des concentrations plasmatiques du sotorasib, avec risque de moindre efficacité.",
INDUCTEURS ENZYMATIQUES PUISSANTS,STIRIPENTOL,PE,"Augmentation des concentrations plasmatiques de l'inducteur, avec risque de surdosage, par inhibition de son métabolisme hépatique par le stiripentol.","Surveillance clinique et dosage plasmatique, lorsque cela est possible, de l'inducteur associé au stiripentol et adaptation éventuelle de sa posologie."
INDUCTEURS ENZYMATIQUES PUISSANTS,TELITHROMYCINE,AD,"Diminution des concentrations plasmatiques de la télithromycine, avec risque d'échec du traitement anti-infectieux, par augmentation de son métabolisme hépatique par l'inducteur.",
INDUCTEURS ENZYMATIQUES PUISSANTS,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",PE,Diminution des concentrations plasmatiques et de l'efficacité de la théophylline par augmentation de son métabolisme hépatique par l'inducteur.,"Surveillance clinique et, si besoin, de la théophyllinémie. Adaptation éventuelle de la posologie de la théophylline pendant le traitement par l'inducteur et après son arrêt."
INDUCTEURS ENZYMATIQUES PUISSANTS,TIAGABINE,PE,Diminution des concentrations plasmatiques de la tiagabine par augmentation de son métabolisme hépatique par l'inducteur.,Une augmentation de la posologie de tiagabine peut s'avérer nécessaire en cas d'association à un anticonvulsivant inducteur enzymatique.
INDUCTEURS ENZYMATIQUES PUISSANTS,TICAGRELOR,AD,"Diminution importante des concentrations plasmatiques de ticagrelor par augmentation de son métabolisme hépatique par l'inducteur enzymatique, avec risque de diminution de l'effet thérapeutique.",
INDUCTEURS ENZYMATIQUES PUISSANTS,ULIPRISTAL,AD,"Risque de diminution de l'effet de l'ulipristal, par augmentation de son métabolisme hépatique par l'inducteur.",Préférer une alternative thérapeutique peu ou pas métabolisée.
INDUCTEURS ENZYMATIQUES PUISSANTS,VELPATASVIR,CI,"Diminution des concentrations plasmatiques de velpatasvir par l'inducteur, avec possible retentissement sur l'efficacité.",
INDUCTEURS ENZYMATIQUES PUISSANTS,VITAMINE D,PE,Diminution des concentrations de vitamine D plus marquée qu'en l'absence d'inducteur.,Dosage des concentrations de vitamine D et supplémentation si nécessaire.
INDUCTEURS ENZYMATIQUES PUISSANTS,VOXELOTOR,AD,"Diminution notable des concentrations plasmatiques du voxelotor, avec risque de moindre efficacité.",
INHIBITEURS DE LA 5-ALPHA REDUCTASE,INDUCTEURS ENZYMATIQUES PUISSANTS,AD,Diminution des concentrations plasmatiques de l'inhibiteur de la 5- alpha réductase par l'inducteur enzymatique.,"Si l'association ne peut être évitée, surveillance clinique étroite."
INHIBITEURS DE LA 5-ALPHA REDUCTASE,MILLEPERTUIS,CI,Diminution des concentrations plasmatiques de l'inhibiteur de la 5- alpha réductase par le millepertuis.,
INHIBITEURS DE LA 5-ALPHA REDUCTASE,RIFAMPICINE,AD,Diminution des concentrations plasmatiques de l'inhibiteur de la 5- alpha réductase par l'inducteur enzymatique.,"Si l'association ne peut être évitée, surveillance clinique étroite."
INHIBITEURS DE LA CATÉCHOL-O-MÉTHYLTRANSFÉRASE (COMT),IMAO IRRÉVERSIBLES,CI,"Potentialisation des effets pharmacologiques, et notamment vasopresseurs, des catécholamines par inhibition conjuguée de leur métabolisme.",
INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,ALPHABLOQUANTS À VISÉE UROLOGIQUE,PE,"Risque d'hypotension orthostatique, notamment chez le sujet âgé.",ASDEC - PE Association déconseillée : - avec la doxazosine : - avec les autres alpha-bloquants Débuter le traitement aux posologies minimales recommandées et adapter progressivement les doses si besoin.
INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,ANTIHYPERTENSEURS ALPHA-BLOQUANTS,PE,"Risque d'hypotension orthostatique, notamment chez le sujet âgé.",ASDEC - PE Association déconseillée : - avec la doxazosine : - avec les autres alpha-bloquants Débuter le traitement aux posologies minimales recommandées et adapter progressivement les doses si besoin.
INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,DÉRIVÉS NITRÉS ET APPARENTÉS,CI,Risque d'hypotension importante (effet synergique) pouvant aggraver l'état d'ischémie myocardique et provoquer notamment un accident coronarien aigu.,
INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,RIOCIGUAT,CI,Risque d'hypotension importante (effet synergique).,
INHIBITEURS DE LA XANTHINE OXYDASE,ANTIPURINES,CI,Insuffisance médullaire éventuellement grave.,
INHIBITEURS DE LA XANTHINE OXYDASE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",PE,"En cas de posologies élevées de l'inhibiteur, augmentation des concentrations plasmatiques de théophylline par inhibition de son métabolisme.","Surveillance clinique et contrôle de la théophyllinémie jusqu'à deux à trois semaines après la mise en route du traitement par l'inhibiteur ; s'il y a lieu, adaptation de la posologie pendant le traitement par l'association."
INHIBITEURS DE L'ENZYME DE CONVERSION,ACIDE ACETYLSALICYLIQUE,PE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association.
INHIBITEURS DE L'ENZYME DE CONVERSION,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,APEC,"Dans les indications où cette association est possible, risque accru de dégradation de la fonction rénale, voire insuffisance rénale aiguë, et majoration de l'hyperkaliémie, ainsi que de l'hypotension et des syncopes.",
INHIBITEURS DE L'ENZYME DE CONVERSION,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,PE,"Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Ces effets sont généralement réversibles. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association.
INHIBITEURS DE L'ENZYME DE CONVERSION,DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),PE,Risque d'hyperkaliémie (potentiellement létale) surtout en cas d'insuffisance rénale (addition des effets hyperkaliémiants).,"ASDEC - PE Association déconseillée : - si l'association est justifiée, contrôle strict de la kaliémie et de la fonction rénale. : - pour la spironolactone à des doses comprises entre 12,5 mg et 50 mg/jour, et pour l'éplérénone utilisées dans le traitement de l'insuffisance cardiaque, ainsi qu'en cas d'hypokaliémie : contrôle strict de la kaliémie et de la fonction rénale."
INHIBITEURS DE L'ENZYME DE CONVERSION,DIURÉTIQUES HYPOKALIÉMIANTS,PE,Risque d'hypotension artérielle brutale et/ou d'insuffisance rénale aiguë lors de l'instauration ou de l'augmentation de la posologie d'un traitement par un inhibiteur de l'enzyme de conversion en cas de déplétion hydrosodée préexistante.,"Dans l'hypertension artérielle, lorsqu'un traitement diurétique préalable a pu entraîner une déplétion hydrosodée, il faut : - soit arrêter le diurétique avant de débuter le traitement par l'IEC, et réintroduire un diurétique hypokaliémiant si nécessaire ultérieurement ; - soit administrer des doses initiales réduites d'IEC et augmenter progressivement la posologie. Dans l'insuffisance cardiaque congestive traitée par diurétiques, commencer par une dose très faible d'IEC, éventuellement après réduction de la dose du diurétique hypokaliémient associé. Dans tous les cas : surveiller la fonction rénale (créatininémie) dans les premières semaines du traitement par l'IEC."
INHIBITEURS DE L'ENZYME DE CONVERSION,EPLERENONE,PE,"Majoration du risque d'hyperkaliémie, notamment chez le sujet âgé.",Contrôle strict de la kaliémie et de la fonction rénale pendant l'association.
INHIBITEURS DE L'ENZYME DE CONVERSION,ESTRAMUSTINE,AD,Risque de majoration des effets indésirables à type d'oedème angio-neurotique (angio-oedème).,
INHIBITEURS DE L'ENZYME DE CONVERSION,GLIPTINES,APEC,Risque de majoration de la survenue d'un angio-œdème d'origine bradykinique pouvant être fatal.,
INHIBITEURS DE L'ENZYME DE CONVERSION,INSULINE,PE,L'utilisation des IEC peut entraîner une majoration de l'effet hypoglycémiant chez le diabétique traité par insuline. La survenue de malaises hypoglycémiques semble exceptionnelle (amélioration de la tolérance au glucose qui aurait pour conséquence une réduction des besoins en insuline).,Renforcer l'autosurveillance glycémique.
INHIBITEURS DE L'ENZYME DE CONVERSION,LITHIUM,AD,Augmentation de la lithémie pouvant atteindre des valeurs toxiques (diminution de l'excrétion rénale du lithium).,"Si l'usage d'un IEC est indispensable, surveillance stricte de la lithémie et adaptation de la posologie du lithium."
INHIBITEURS DE L'ENZYME DE CONVERSION,OR,APEC,"Avec les sels d'or administrés par voie IV : risque de réaction «nitritoïde» à l'introduction de l'IEC (nausées, vomissements, effets vasomoteurs à type de flush, hypotension, éventuellement collapsus).",
INHIBITEURS DE L'ENZYME DE CONVERSION,POTASSIUM,AD,"Pour une quantité de potassium > à 1 mmol/prise, hyperkaliémie potentiellement létale, notamment chez l'insuffisant rénale ( addition des effets hyperkaliémiants).",Sauf s'il existe une hypokaliémie.
INHIBITEURS DE L'ENZYME DE CONVERSION,SACUBITRIL,CI,Augmentation du risque d'angioedème.,
INHIBITEURS DE L'ENZYME DE CONVERSION,SIROLIMUS,APEC,Majoration du risque d'angio-oedème.,
INHIBITEURS DE L'ENZYME DE CONVERSION,SPIRONOLACTONE,PE,"Avec la spironolactone à la posologie de 12,5 à 50 mg par jour, et avec des doses faibles d'IEC. Dans le traitement de l'insuffisance cardiaque de classe III ou IV (NYHA) avec fraction d'éjection <35 % et préalablement traitée par l'association inhibiteur de conversion + diurétique de l'anse : risque d'hyperkaliémie, potentiellement létale, en cas de non-respect des conditions de prescription de cette association.","Vérifier au préalable l'absence d'hyperkaliémie et d'insuffisance rénale. Surveillance biologique étroite de la kaliémie et de la créatininémie (1 fois par semaine pendant le premier mois, puis une fois par mois ensuite)."
INHIBITEURS DE L'ENZYME DE CONVERSION,SULFAMIDES HYPOGLYCÉMIANTS,PE,L'utilisation des IEC peut entraîner une majoration de l'effet hypoglycémiant chez le diabétique traité par sulfamides hypoglycémiants. La survenue de malaises hypoglycémiques semble exceptionnelle (amélioration de la tolérance au glucose qui aurait pour conséquence une réduction des besoins en sulfamides hypoglycémiants).,Renforcer l'autosurveillance glycémique.
INHIBITEURS DE L'ENZYME DE CONVERSION,TEMSIROLIMUS,APEC,Majoration du risque d'angio-oedème.,
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),ACIDE FUSIDIQUE,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Arrêter le traitement par l'inhibiteur de l'HMG Co-A réductase avant d'initier un traitement par acide fusidique ou utiliser un autre antibiotique.
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),ANTIVITAMINES K,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K.
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),COBIMÉTINIB,APEC,Risque majoré de rhabdomyolyse.,
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),COLCHICINE,PE,"Risque de majoration des effets indésirables musculaires de ces substances, et notamment de rhabdomyolyse.","Surveillance clinique et biologique, notamment au début de l'association."
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),DAPTOMYCINE,AD,Risque d'addition des effets indésirables (dose-dépendant) à type de rhabdomyolyse.,"Si l'association ne peut être évitée, renforcer la surveillance biologique (dosage des CPK plus d'une fois par semaine) et surveillance clinique étroite."
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),ELTROMBOPAG,PE,"Risque de majoration de la toxicité des statines, par inhibition de leur recapture hépatique.",Surveillance clinique et adaptation éventuelle de la posologie de la statine.
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),GLIPTINES,PE,"Possibilité de survenue d'effets indésirables musculaires à l'introduction d'une gliptine, malgré le traitement antérieur par statine bien toléré.",Le contrôle régulier de la fonction rénale et le strict respect des doses sont impératifs.
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),GRAZOPREVIR + ELBASVIR,PE,Augmentation des concentrations plasmatiques de l'hypochlestérolémiant par augmentation de son absorption intestinale.,Surveillance clinique et biologique pendant l'association. La dose de statine ne doit pas dépasser 20 mg par jour (10 mg avec la rosuvastatine).
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),LÉDIPASVIR,PE,Risque d'augmentation des concentrations plasmatiques de la statine et de ses effets indésirables à type de rhabdomyolyse.,CI - PE Contre-indication : - avec la rosuvastatine. : - avec les autres inhibiteurs de l'HMG Co-A réductase. Surveillance clinique et biologique. Adaptation éventuelle de la posologie de la statine.
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),LENALIDOMIDE,PE,Risque majoré de survenue de rhabdomyolyses.,"Renforcer le contrôle clinique et biologique, notamment durant les premières semaines de traitement."
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),LÉTERMOVIR,PE,Risque d'augmentation des concentrations plasmatiques de la statine et de ses effets indésirables à type de rhabdomyolyse.,"ASDEC - PE Association déconseillée: - avec simvastatine, pitavastatine, rosuvastatine (en cas d'utilisation du létermovir seul): - ne pas dépasser 20 mg/ jour d'atorvastatine - adaptation éventuelle de la posologie de fluvastatine et de pravastatine,"
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),ROXADUSTAT,PE,"Augmentation d'un facteur 2 à 3 de l'exposition de la statine, par diminution de son métabolisme par le roxadustat.",Surveillance clinique et adaptation de la posologie de la statine pendant le traitement par roxadustat.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,AFATINIB,PE,Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'inhibiteur de protéases.,"Il est recommandé d'administrer l'inhibiteur de protéases le plus à distance possible de l'afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d'afatinib."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ALBENDAZOLE,PE,"Diminution importante des concentrations plasmatiques de l'albendazole et de son métabolite actif par le ritonavir, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et après son arrêt.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ANTIVITAMINES K,PE,"Variation de l'effet de l'antivitamine K, le plus souvent dans le sens d'une diminution.",Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant la durée du traitement.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ATORVASTATINE,AD,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'atorvastatine).,"Utiliser des doses plus faibles d'atorvastatine. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ATOVAQUONE,AD,"Diminution, éventuellement très importante, des concentrations plasmatiques de l'atovaquone par augmentation de son métabolisme.",
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,BUPRENORPHINE,APEC,"Risque de majoration ou de diminution des effets de la buprénorphine, à la fois par inhibition et accélération de son métabolisme par l'inhibiteur de protéases.",
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,CLARITHROMYCINE,PE,Augmentation des concentrations de la clarithromycine et de son métabolite actif par diminution de son métabolisme hépatique par l'inhibiteur de protéases.,"Surveillance clinique et biologique régulière, notamment en début d'association."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,CYPROTERONE,PE,Risque de diminution de l'efficacité de la cyprotérone.,"ASDEC - PE Association déconseillée - dans son utilisation comme contraceptif hormonal: utiliser de préférence une autre méthode de contraception en particulier de type mécanique, pendant la durée de l'association et un cycle suivant. - dans ses indications comme anti-androgène: surveillance clinique et adaptation éventuelle de la posologie de la cyprotérone pendant l'association et après son arrêt."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,DIGOXINE,PE,"Augmentation de la digoxinémie, plus marquée pour la voie intraveineuse, par augmentation de l'absorption de la digoxine ou diminution de sa clairance rénale.","Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinémie, avec adaptation éventuelle de la posologie de digoxine."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ESTROPROGESTATIFS CONTRACEPTIFS,AD,"Risque de diminution de l'efficacité contraceptive par diminution des concentrations en contraceptif hormonal, dûe à l'augmentation de son métabolisme hépatique par le ritonavir.","Utiliser une méthode additionnelle de type mécanique (préservatif) pendant la durée de l'association, et un cycle suivant l'arrêt du ritonavir."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,HORMONES THYROÏDIENNES,PE,Risque de baisse de l'efficacité des hormones thyroïdiennes par augmentation de leur métabolisme hépatique par le ritonavir.,Surveillance clinique et biologique et adaptation éventuelle de la posologie des hormones thyroïdiennes.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,IMMUNOSUPPRESSEURS,AD,Augmentation très importante des concentrations sanguines de l'immunosuppresseur par inhibition de son métabolisme hépatique.,"En cas d'association, contrôle strict de la fonction rénale, dosage des concentrations sanguines de l'immunosuppresseur et adaptation de sa posologie."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,INDUCTEURS ENZYMATIQUES PUISSANTS,PE,Risque de baisse de l'efficacité de l'inhibiteur de protéases par augmentation de son métabolisme hépatique par l'inducteur.,"Surveillance clinique et biologique régulière, notamment en début d'association."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,INHIBITEURS PUISSANTS DU CYP3A4,APEC,Risque d'augmentation des concentrations plasmatiques de l'inhibiteur de protéase boosté par le ritonavir ou de l'inhibiteur du CYP3A4.,"Pour connaître les risques et les niveaux de contrainte de chaque inhibiteur de protéase boosté par le ritonavir avec les inhibiteurs puissants du CYP3A4, il convient de se reporter aux AMM spécifiques à chacun d'eux."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ITRACONAZOLE,PE,Risque d'augmentation des concentrations d'itraconazole par l'inhibiteur de protéases.,Surveillance clinique lors de l'association. L'administration de doses élevées d'itraconazole (>200 mg par jour) n'est pas recommandée.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,LAMOTRIGINE,PE,Risque de diminution des concentrations et de l'efficacité de la lamotrigine par augmentation de son métabolisme hépatique par le ritonavir.,ASDEC - PE Association déconseillée - Eviter de mettre en route le traitement par ritonavir pendant la période d'ajustement posologique de la lamotrigine. - Surveillance clinique et adaptation de la posologie de la lamotrigine lors de la mise en route du traitement par ritonavir.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,METHADONE,PE,Diminution des concentrations plasmatiques de méthadone avec risque d'apparition d'un syndrome de sevrage par augmentation de son métabolisme hépatique par le ritonavir.,Surveillance clinique régulière et adaptation éventuelle de la posologie de méthadone.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,MILLEPERTUIS,CI,"Diminution des concentrations plasmatiques de l'inhibiteur de protéases, en raison de l'effet inducteur enzymatique du millepertuis, avec risque de baisse d'efficacité voire d'annulation de l'effet dont les conséquences peuvent être éventuellement graves (baisse de l'efficacité antirétrovirale).","En cas d'association fortuite, ne pas interrompre brutalement la prise de millepertuis mais contrôler les concentrations plasmatiques (ou l'efficacité) de l'inhibiteur de protéases avant puis après l'arrêt du millepertuis."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,NINTÉDANIB,PE,Augmentation des concentrations plasmatiques du nintédanib par augmentation de son absorption par l'inhibiteur de protéases boosté par ritonavir.,Surveillance clinique pendant l'association.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,PROGESTATIFS CONTRACEPTIFS,AD,"Risque de diminution de l'efficacité contraceptive par diminution des concentrations en contraceptif hormonal, dûe à l'augmentation de son métabolisme hépatique par le ritonavir.","Utiliser de préférence une autre méthode contraceptive, en particulier de type mécanique (préservatif ou stérilet), pendant la durée de l'association et un cycle suivant."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,QUINIDINE,CI,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,RIFABUTINE,PE,"Risque de baisse de l'efficacité de l'inhibiteur de protéases (ce d'autant que la posologie de la rifabutine est élevée) d'une part, et risque d'augmentation des effets indésirables (uvéites) de la rifabutine, d'autre part.","Réduction de la dose de rifabutine (150 mg 1 jour sur deux). Surveillance clinique et biologique régulière, notamment en début d'association."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,RIFAMPICINE,CI,"Diminution très importante des concentrations plasmatiques de l'inhibiteur de protéases, par augmentation de son métabolisme hépatique par la rifampicine. Pour l'association (saquinavir + ritonavir) : risque de toxicité hépatocellulaire sévère.","Dans l'attente de données complémentaires avec les inhibiteurs de protéases ""boostés""."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ROSUVASTATINE,PE,Augmentation des concentrations plasmatiques de la rosuvastatine par augmentation de son absorption.,Surveillance clinique et biologique.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,TALAZOPARIB,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,TÉNOFOVIR ALAFÉNAMIDE,PE,"Avec l'atazanavir, le darunavir ou le lopinavir, augmentation des concentrations plasmatiques du ténofovir alafénamide par augmentation de son absorption.","En cas de co-administration, la dose de ténofovir alafénamide doit être limitée à 10 mg par jour. L'association avec les autres inhibiteurs de protéases du VIH n'a pas été étudiée."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",PE,"Diminution des concentrations plasmatiques de la théophylline, par augmentation de son métabolisme hépatique.","Surveillance clinique et éventuellement de la théophyllinémie ; s'il y a lieu, adaptation de la posologie de la théophylline pendant le traitement par l'inhibiteur de protéases et après son arrêt."
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ULIPRISTAL,AD,"Risque de diminution de l'effet de l'ulipristal, par augmentation de son métabolisme hépatique par le ritonavir.",Préférer une alternative thérapeutique peu ou pas métabolisée.
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,VENLAFAXINE,APEC,Augmentation des concentrations de venlafaxine avec risque de surdosage.,
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,VORICONAZOLE,AD,"Baisse très importante des concentrations de l'antifongique par augmentation de son métabolisme par le ritonavir, avec risque d'échec du traitement.",
INHIBITEURS DE TYROSINE KINASES MÉTABOLISÉS,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,APEC,"Risque de diminution de la biodisponibilité de l'inhibiteur de tyrosine kinases, en raison de son absorption pH-dépendante.",- sauf avec l'entrectinib et le vandétanib.
INHIBITEURS DE TYROSINE KINASES MÉTABOLISÉS,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,APEC,"Risque de diminution de la biodisponibilité de l'inhibiteur de tyrosine kinases, en raison de son absorption pH-dépendante.","- sauf avec l'entrectinib, le fédratinib, l'imatinib, le tucatinib et le vandétanib"
INHIBITEURS DE TYROSINE KINASES MÉTABOLISÉS,INDUCTEURS ENZYMATIQUES PUISSANTS,AD,"Diminution des concentrations plasmatiques et de l'efficacité de l'inhibiteur de tyrosine kinase, par augmentation de son métabolisme par l'inducteur.",
INHIBITEURS DE TYROSINE KINASES MÉTABOLISÉS,INHIBITEURS PUISSANTS DU CYP3A4,PE,Risque de majoration des effets indésirables de l'inhibiteur de tyrosine kinase par diminution de son métabolisme.,"ASDEC - PE Association déconseillée : - avec l'axitinib, le bosutinib, le cabozantinib, le céritinib, le cobimétinib, le dabrafenib, le dasatinib, l'entrectinib, le nilotinib, le sunitinib. - avec l'ibrutinib et le ribociclib: si l'association ne peut être évitée, surveillance clinique étroite et réduction de la dose pendant la durée de l'association voire interruption temporaire ou définitive. avec les autres ITK (sauf abrocitinib, osimertinib, tucatinib et vandétanib): Surveillance clinique."
INHIBITEURS DE TYROSINE KINASES MÉTABOLISÉS,MILLEPERTUIS,CI,"Diminution des concentrations plasmatiques et de l'efficacité de l'inhibiteur de tyrosine kinase, par augmentation de son métabolisme par le millepertuis.",
INHIBITEURS DE TYROSINE KINASES MÉTABOLISÉS,RIFAMPICINE,AD,"Diminution des concentrations plasmatiques et de l'efficacité de l'inhibiteur de tyrosine kinase, par augmentation de son métabolisme par l'inducteur.",
INHIBITEURS D'INTÉGRASE,CALCIUM,PE,Diminution de l'absorption digestive des inhibiteurs d'intégrase.,"Prendre les sels de calcium à distance de l'antirétroviral (plus de 2 heures, si possible)."
INHIBITEURS D'INTÉGRASE,FER,PE,Diminution de l'absorption digestive des inhibiteurs d'intégrase.,"Prendre les sels de fer à distance de l'antirétroviral (plus de 2 heures, si possible)."
INHIBITEURS D'INTÉGRASE,MAGNÉSIUM,PE,Diminution de l'absorption digestive des inhibiteurs d'intégrase.,"Prendre les sels de magnésium à distance de l'antirétroviral (plus de 2 heures, si possible)."
INHIBITEURS D'INTÉGRASE,ZINC,PE,"Risque de diminution de l'absorption digestive des inhibiteurs d'intégrase, par chélation par le cation divalent.","Prendre les sels de zinc à distance de l'antirétroviral (plus de 2 heures, si possible)."
INHIBITEURS DIRECTS DE LA THROMBINE À INDICATION SPÉCIFIQUE,AUTRES MÉDICAMENTS AGISSANT SUR L'HÉMOSTASE,APEC,Majoration du risque hémorragique.,
INHIBITEURS PUISSANTS DU CYP3A4,ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,CI,"Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.",
INHIBITEURS PUISSANTS DU CYP3A4,ALFENTANIL,PE,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Surveillance clinique et adaptation de la posologie de l'analgésique opiacé en cas de traitement par un inhibiteur puissant du CYP3A4.
INHIBITEURS PUISSANTS DU CYP3A4,ALFUZOSINE,AD,Risque d'augmentation des concentrations plasmatiques de l'alfuzosine et de ses effets indésirables.,
INHIBITEURS PUISSANTS DU CYP3A4,ALPRAZOLAM,APEC,Possible augmentation de l'effet sédatif de l'alprazolam.,
